"name","cleanm","cid","tid","MolecularWeight","Complexity"
"Calciferol","Calciferol","5280793","D06JPB",396.6,678
"Cisapride","Cisapride","6917698","D0BD8D",465.9,581
"Epiandrosterone","Epiandrosterone","441302","D0O8FW",290.4,459
"Dicloxacillin sodium salt","Dicloxacillin","18381","D0R2KJ",470.3,746
"Dinoprost trometamol","Dinoprost trometamol","5282415","D04RGA",475.6,486
"Ceforanide","Ceforanide","43507","D06OUL",519.6,905
"Puromycin dihydrochloride","Puromycin","439530",NA,471.5,680
"RO1786128","RO1786128",NA,NA,NA,NA
"CGP35348","CGP35348","107699","D04KMO",225.22,182
"CGP46381","CGP46381","130022","D0B8SE",219.26,202
"CGP52432","CGP52432","132252",NA,384.2,369
"CGP54626","CGP54626","197584","D00KXZ",408.3,448
"CGP55845","CGP55845","5311042","D09QOE",402.2,448
"Metixene Hydrochloride","Metixene","4167","D0NF0W",309.5,349
"Glycocholic acid","Glycocholic acid","10140","D08WQV",465.6,759
"Ciclopirox ethanolamine","Ciclopirox ethanolamine","38911",NA,268.35,335
"Hexetidine","Hexetidine","3607",NA,339.6,292
"Laudanosine (R,S)","Laudanosine","15548",NA,357.4,434
"Scoulerine","Scoulerine","22955",NA,327.4,447
"Harmalol hydrochloride dihydrate","Harmalol","3565",NA,200.24,289
"Methoxy-6-Harmalan","Methoxy-6-Harmalan","417052",NA,214.26,302
"Thiamine hydrochloride","Thiamine","1130","D07TYL",265.36,269
"Cefotiam hydrochloride","Cefotiam","43708","D0K3DQ",525.6,848
"Nitrofural","Nitrofural","5447130","D0IE1E",198.14,261
"Biperiden hydrochloride","Biperiden","2381","D0B4TN",311.5,422
"Iohexol","Iohexol","3730",NA,821.1,653
"Thiostrepton","Thiostrepton","16129666","D0G5FV",1664.9,3940
"Isoquinoline, 6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro, hydrochloride","Isoquinoline, 6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,","6420035",NA,243.73,210
"Probenecid","Probenecid","4911","D0L7FM",285.36,374
"Selegiline hydrochloride","Selegiline","26757","D0S2UG",187.28,195
"Mometasone Furoate","Mometasone Furoate","441336","D0XW2H",521.4,1020
"Lobelanidine hydrochloride","Lobelanidine","442646",NA,339.5,342
"Ajmalicine Hydrochloride","Ajmalicine","441975","D01JGV",352.4,606
"Ajmaline","Ajmaline","6100671","D02GUG",326.4,570
"Harmol hydrochloride monohydrate","Harmol","68094",NA,198.22,516
"Stachydrine hydrochloride","Stachydrine","115244",NA,143.18,148
"Dipivefrin hydrochloride","Dipivefrin","3105","D01JFT",351.4,463
"Azathymine, 6","Azathymine, 6","70269",NA,127.1,196
"Cetirizine dihydrochloride","Cetirizine","2678","D0DK8V",388.9,443
"Norcyclobenzaprine","Norcyclobenzaprine","9918",NA,261.4,340
"Phenacetin","Phenacetin","4754","D0O2IE",179.22,162
"Betahistine mesylate","Betahistine mesylate","198334",NA,328.4,176
"Tomatidine","Tomatidine","65576",NA,415.7,696
"Trigonelline","Trigonelline","5570",NA,137.14,130
"Monocrotaline","Monocrotaline","9415","D0G6AB",325.36,575
"Pyridoxine hydrochloride","Pyridoxine","1054","D07MUN",169.18,142
"Benperidol","Benperidol","16363","D0X7QQ",381.4,556
"Propylthiouracil","Propylthiouracil","657298","D00MIN",170.23,223
"Etifenin","Etifenin","170344",NA,322.36,399
"Tiabendazole","Tiabendazole","5430","D08QCJ",201.25,212
"Atovaquone","Atovaquone","74989","D06ZEE",366.8,595
"Tobramycin","Tobramycin","36294","D07BCT",467.5,609
"Syrosingopine","Syrosingopine","6769",NA,666.7,1130
"Dacarbazine","Dacarbazine","135398738","D0Y7ZU",182.18,215
"Piperlongumine","Piperlongumine","637858","D5R7AE",317.34,473
"Cytisine(-)","Cytisine","10235","D08XPW",190.24,332
"Riboflavine","Riboflavine","493570","D04QST",376.4,680
"Terconazole","Terconazole","441383","D01AQT",532.5,693
"Metaproterenol sulfate, orciprenaline sulfate","Metaproterenol sulfate, orciprenaline","441333","D02UFG",520.6,258
"Trimethadione","Trimethadione","5576","D0U4VT",143.14,197
"Rifampicin","Rifampicin","135398735","D0G3DL",822.9,1620
"Nifuroxazide","Nifuroxazide","5337997",NA,275.22,387
"Atropine sulfate monohydrate","Atropine sulfate","60196398",NA,676.8,434
"Lobeline alpha(-) hydrochoride","Lobeline alpha(-) hydrochoride","6419947",NA,373.9,412
"Calycanthine","Calycanthine","5392245",NA,346.5,531
"Hydrocotarnine hydrobromide","Hydrocotarnine","3646",NA,221.25,261
"Chrysene-1,4-Quinone","Chrysene-1,4-Quinone","180933",NA,258.3,464
"Pseudopelletierine hydrochloride","Pseudopelletierine","11096",NA,153.22,162
"Hydroquinine Hydrobromide Hydrate","Hydroquinine","121515",NA,326.4,432
"Colistin sulfate","Colistin","5311054","D0K7NQ",1155.4,2050
"Tiaprofenic acid","Tiaprofenic acid","5468","D0S7VO",260.31,323
"Sisomicin sulfate","Sisomicin","36119",NA,447.5,643
"Lovastatin","Lovastatin","53232","D06WTZ",404.5,666
"Ethionamide","Ethionamide","2761171","D0O5ZK; D0P0HB",166.25,147
"Mycophenolic acid","Mycophenolic acid","446541",NA,320.3,486
"Eserine sulfate, physostigmine sulfate","Eserine sulfate, physostigmine","6150",NA,648.8,465
"Acetopromazine Maleate Salt","Acetopromazine","6077",NA,326.5,414
"Berberine chloride","Berberine","2353","D0W8WB",336.4,488
"Convolamine hydrochloride","Convolamine","420422",NA,305.4,388
"(-)-Cinchonidine","Cinchonidine","101744",NA,294.4,412
"Demecarium bromide","Demecarium bromide","5965","D06IDT",716.6,686
"Racecadotril","Racecadotril","107751","D0JY3V",385.5,485
"Epivincamine","Epivincamine","637570",NA,354.4,598
"Daunorubicin hydrochloride","Daunorubicin","30323","D01XWG",527.5,960
"Vancomycin hydrochloride","Vancomycin","14969","D0B1IV",1449.2,2960
"Nystatine","Nystatine","6420032",NA,926.1,1620
"Tenoxicam","Tenoxicam","54677971","D0I6IB",337.4,599
"Dirithromycin","Dirithromycin","6473883","D06ZUP",835.1,1300
"Chelidonine(+)","Chelidonine","197810",NA,353.4,560
"Isocorydine(+)","Isocorydine","10143",NA,341.4,475
"Eburnamonine(-)","Eburnamonine","92112",NA,294.4,492
"Quipazine Dimaleate Salt","Quipazine","5011","D08BCF",213.28,225
"Folic acid","Folic acid","135398658","D0Z0DW",441.4,767
"Retrorsine","Retrorsine","5281743",NA,351.4,627
"Dosulepin Hydrochloride","Dosulepin","5284550",NA,295.4,363
"Artemisinin","Artemisinin","68827","D0S3WH",282.33,452
"Triflusal","Triflusal","9458",NA,248.15,313
"Phenindione","Phenindione","4760","D08FTG",222.24,304
"Gliclazide","Gliclazide","3475","D0M2MR",323.4,497
"Rescinnamin","Rescinnamin","5280954","D0G8NJ",634.7,1080
"Cinchonine","Cinchonine","90454",NA,294.4,412
"Sparteine(-)","Sparteine","644020",NA,234.38,263
"Salsolinol hydrobromide","Salsolinol","91588",NA,179.22,186
"Conessine","Conessine","441082","D0M9IC",356.6,609
"Ceftazidime pentahydrate","Ceftazidime","5481173","D0PH5Z",546.6,1020
"*(D)Bromperidol","Bromperidol","2448","D00SHQ",420.3,451
"Imipenem","Imipenem","104838","D0H3TD",299.35,491
"Thiocolchicoside","Thiocolchicoside","9915886","D0IG4I",563.6,1010
"Trimetazidine dihydrochloride","Trimetazidine","21109","D0Q4YI",266.34,259
"Do897/99","Do897/99","6420036",NA,490.5,549
"Dihydroergotoxine mesylate","Dihydroergotoxine mesylate","6420006","D0SP3D",679.8,1260
"Palmatine chloride","Palmatine","19009","D02SGJ",352.4,475
"Bicuculline(+)","Bicuculline","10237","D00LBX",367.4,615
"Seneciphylline","Seneciphylline","5281750",NA,333.4,650
"Canavanine sulfate monohydrate (L,+)","Canavanine sulfate","11957500",NA,274.26,259
"Diflorasone Diacetate","Diflorasone Diacetate","71414",NA,494.5,1050
"Protoveratrine A","Protoveratrine A","8931",NA,793.9,1630
"Cyclizine hydrochloride","Cyclizine","6726","D08HRJ",266.4,253
"Sulfasalazine","Sulfasalazine","5339","D02ZTJ",398.4,657
"Trolox","Trolox","40634",NA,250.29,343
"Clorsulon","Clorsulon","43231","D0V6EH",380.7,604
"Prenylamine lactate","Prenylamine lactate","65557",NA,419.6,375
"Trimethylcolchicinic acid","Trimethylcolchicinic acid","453131",NA,343.4,623
"Yohimbinic acid monohydrate","Yohimbinic acid","72131",NA,340.4,541
"Boldine","Boldine","10154","D0LH4L",327.4,461
"Dimethisoquin hydrochloride","Dimethisoquin","6857",NA,272.4,270
"Solanine alpha","Solanine alpha","6713954",NA,868.1,1610
"SACLOFEN","SACLOFEN","122150","D0S5YH",249.72,280
"SCH50911","SCH50911","5311429","D0K9OL",173.21,179
"(+.-)-4-AMINO-3-(5-CHLORO-2-THIENYL)-BUTANOIC acid","4-AMINO-3-(5-CHLORO-2-THIENYL)-BUTANOIC acid","125917","D0AK9X",219.69,191
"Sulmazole","Sulmazole","5353",NA,287.34,368
"Glimepiride","Glimepiride","3476","D0B2GI",490.6,895
"Vitexin","Vitexin","5280441",NA,432.4,690
"Dydrogesterone","Dydrogesterone","9051","D0F1UL",312.4,628
"Austricine","Austricine","6419904",NA,280.32,528
"Fillalbin","Fillalbin","443007",NA,291.34,375
"Trihexyphenidyl-D,L hydrochloride","Trihexyphenidyl-D,L","66007",NA,337.9,314
"Sulfabenzamide","Sulfabenzamide","5319",NA,276.31,402
"Althiazide","Althiazide","2122",NA,383.9,614
"Sulfaquinoxaline sodium salt","Sulfaquinoxaline","5338",NA,300.34,442
"Nadide","Nadide","5892","D0R6JE",663.4,1120
"Butamben","Butamben","2482",NA,193.24,174
"Alclometasone dipropionate","Alclometasone dipropionate","636374",NA,521,1030
"Clobetasol Propionate","Clobetasol Propionate","32798","D0H0YD",467,929
"unknown","unknown","9919023","D0SL8J",844,1560
"Epicatechin-(-)","Epicatechin","72276","D05TPI",290.27,364
"Picrotoxinin","Picrotoxinin","442292","D0Y1GW",292.28,642
"Gelsemine","Gelsemine","5390854",NA,322.4,635
"(d,l)-Tetrahydroberberine","Tetrahydroberberine","34458",NA,339.4,488
"Succinylsulfathiazole","Succinylsulfathiazole","5315",NA,355.4,526
"Benzocaine","Benzocaine","2337","D0Q8ZX",165.19,151
"Isopyrin hydrochloride","Isopyrin","5037",NA,245.32,356
"Streptozotocin","Streptozotocin","29327","D0I8RR",265.22,315
"Sulfamethizole","Sulfamethizole","5328","D07JJS",270.3,349
"Phenazopyridine Hydrochloride","Phenazopyridine","4756","D00VUL",213.24,237
"Sulfapyridine","Sulfapyridine","5336","D0D4CY",249.29,331
"Propidium iodide","Propidium","4939","D08UET",414.6,555
"Flunisolide","Flunisolide","82153","D0FM2P",434.5,910
"Mepenzolate bromide","Mepenzolate bromide","6461",NA,420.3,432
"Solasodine","Solasodine","442985",NA,413.6,749
"Deltaline","Deltaline","441728",NA,507.6,979
"Famprofazone","Famprofazone","3326",NA,377.5,558
"Dipyrone","Dipyrone","522325",NA,333.34,552
"Phenethicillin potassium salt","Phenethicillin","272833",NA,364.4,575
"Medrysone","Medrysone","247839","D04SFH",344.5,650
"Norgestrel-(-)-D","Norgestrel-(-)-D","13109","D0BA9U",312.4,609
"Clofibric acid","Clofibric acid","2797","D06RRD",214.64,207
"Cloperastine hydrochloride","Cloperastine","2805","D0O8IS",329.9,318
"N-Acetyl-DL-homocysteine Thiolactone","N-Acetyl-DL-homocysteine Thiolactone","14520",NA,159.21,169
"Benfotiamine","Benfotiamine","3032771",NA,466.4,697
"Graveoline","Graveoline","353825",NA,279.29,461
"Heliotrine","Heliotrine","906426",NA,313.39,450
"Sulfamerazine","Sulfamerazine","5325","D0H1GJ",264.31,360
"Bromopride","Bromopride","2446","D09WEJ",344.25,300
"Isosorbide dinitrate","Isosorbide dinitrate","6883","D0I1SK; D05JFY",236.14,268
"Sulfamethoxypyridazine","Sulfamethoxypyridazine","5330",NA,280.31,376
"Flumethasone","Flumethasone","16490",NA,410.5,839
"Flunixin meglumine","Flunixin meglumine","39212",NA,491.5,510
"Fenoprofen calcium salt dihydrate","Fenoprofen","3342","D03XYW",242.27,271
"Furaltadone hydrochloride","Furaltadone","9553856",NA,324.29,476
"Fluocinonide","Fluocinonide","9642","D03ZZK",494.5,1070
"Bendroflumethiazide","Bendroflumethiazide","2315","D02PAH",421.4,740
"Eucatropine hydrochloride","Eucatropine","7534",NA,291.4,363
"Flurandrenolide","Flurandrenolide","15209","D0Y2YP",436.5,868
"Halcinonide","Halcinonide","443943","D06IIB",455,887
"Evoxine","Evoxine","73416",NA,347.4,447
"Hippeastrine hydrobromide","Hippeastrine","441594",NA,315.32,563
"Nitrarine dihydrochloride","Nitrarine","398797",NA,307.4,480
"Acacetin","Acacetin","5280442","D0NS1S",284.26,424
"Methylbenzethonium chloride","Methylbenzethonium","5702238",NA,462.1,502
"Sulfachloropyridazine","Sulfachloropyridazine","6634",NA,284.72,365
"Deferoxamine mesylate","Deferoxamine mesylate","62881","D0FJ8A",656.8,832
"Spiramycin","Spiramycin","6419898","D0F5OR",843.1,1370
"Piperacillin sodium salt","Piperacillin","43672","D04ZAH",517.6,982
"Ethoxyquin","Ethoxyquin","3293",NA,217.31,283
"Sulfamethazine sodium salt","Sulfamethazine","5327","D0V9YR",278.33,377
"Dicumarol","Dicumarol","54676038","D02TJS",336.3,605
"Isocarboxazid","Isocarboxazid","3759","D0I2VK",231.25,254
"Helveticoside","Helveticoside","441860",NA,534.6,1010
"Lanatoside C","Lanatoside C","656630","D0SL2V",985.1,1870
"(cis-)Nanophine","Nanophine","68843",NA,113.2,62
"*(D)Beta-Escin","Beta-Escin","16211024",NA,1131.3,2300
"Lycorine hydrochloride","Lycorine","72378",NA,287.31,481
"Ethotoin","Ethotoin","3292","D05EPM",204.22,272
"(1-[(4-Chlorophenyl)Phenyl-Methyl]-4-Methylpiperazine)","(1-[(4-Chlorophenyl)Phenyl-Methyl]-4-Methylpiperazine)","62413",NA,337.3,300
"Pramoxine Hydrochloride","Pramoxine","4886","D0V4UF",293.4,248
"Mephentermine hemisulfate","Mephentermine","3677","D0G1OZ",163.26,123
"Glycopyrrolate","Glycopyrrolate","11693","D0M0AM",398.3,424
"Diethylstilbestrol","Diethylstilbestrol","448537","D0Y2NE",268.3,286
"Tinidazole","Tinidazole","5479","D0O4SE",247.27,345
"Guaifenesin","Guaifenesin","3516",NA,198.22,151
"Methimazole","Methimazole","1349907","D0S4BR",114.17,119
"Lithocholic acid","Lithocholic acid","9903","D04SLF",376.6,574
"Gossypol","Gossypol","3503","D0Z0HH",518.6,780
"3-alpha-Hydroxy-5-beta-androstan-17-one","3-alpha-Hydroxy-5-beta-androstan-17-one","6420080",NA,290.4,459
"Diphenylpyraline hydrochloride","Diphenylpyraline","3103","D0W6DY",281.4,268
"Ergocryptine-alpha","Ergocryptine-alpha","134551","D06PXY",575.7,1190
"Atractyloside potassium salt","Atractyloside","442004",NA,803,1440
"Cefamandole sodium salt","Cefamandole","456255","D06YHL",462.5,777
"Chlorotrianisene","Chlorotrianisene","11289","D0X0KJ",380.9,442
"Guanadrel sulfate","Guanadrel","38521",NA,213.28,245
"Alexidine dihydrochloride","Alexidine","2090",NA,508.8,601
"Merbromin","Merbromin","441373",NA,751.7,801
"Methotrimeprazine Maleate Salt","Methotrimeprazine","72287","D09LZT",328.5,378
"Betonicine","Betonicine","164642",NA,159.18,173
"Suxibuzone","Suxibuzone","5362",NA,438.5,661
"Skimmianine","Skimmianine","6760",NA,259.26,314
"Ricinine","Ricinine","10666",NA,164.16,319
"Estropipate","Estropipate","5284555","D03IUY",436.6,650
"Benzethonium chloride","Benzethonium","2335",NA,412.6,466
"Fluorometholone","Fluorometholone","9878","D0P0HT",376.5,787
"Sulfadimethoxine","Sulfadimethoxine","5323",NA,310.33,420
"Folinic acid calcium salt","Folinic acid","135403648","D0R4PS",473.4,911
"Monensin sodium salt","Monensin","441145",NA,670.9,1110
"Ribostamycin sulfate salt","Ribostamycin","33042","D08PVY",454.5,593
"Vidarabine","Vidarabine","21704","D0NI0C",267.24,335
"Proadifen Hydrochloride","Proadifen","4910",NA,353.5,375
"Hexylcaine hydrochloride","Hexylcaine","10770","D08MRN",261.36,268
"Dienestrol","Dienestrol","667476","D09ZQN",266.3,318
"Etanidazole","Etanidazole","3276","D0LJ6P",214.18,242
"6-Furfurylaminopurine","6-Furfurylaminopurine","3830","D03OIW",215.21,239
"Anabasine","Anabasine","2181",NA,162.23,136
"Delsoline","Delsoline","441727",NA,467.6,814
"Ungerine nitrate","Ungerine nitrate","6419925",NA,392.4,603
"Hexestrol","Hexestrol","192197",NA,270.4,235
"Trioxsalen","Trioxsalen","5585","D0FA2O",228.24,374
"Sulfanilamide","Sulfanilamide","5333","D0L4JT",172.21,211
"Levonordefrin","Levonordefrin","164739","D0E9VU",183.2,165
"Isoetharine mesylate salt","Isoetharine","3762","D08HUC",239.31,223
"Sulfameter","Sulfameter","5326","D07SYJ",280.31,368
"Zomepirac sodium salt","Zomepirac","5733","D0SU1G",291.73,379
"Drofenine Hydrochloride","Drofenine","3166",NA,317.5,329
"Pridinol methanesulfonate salt","Pridinol","4904",NA,295.4,294
"Butirosin disulfate salt","Butirosin","72393",NA,555.6,772
"Avermectin B1","Avermectin B1","6435890",NA,1732.1,3430
"Tetrandrine","Tetrandrine","73078","D0G4ES",622.7,979
"Napelline","Napelline","441749",NA,359.5,695
"Strophanthidin","Strophanthidin","6185",NA,404.5,777
"Cefuroxime sodium salt","Cefuroxime","5479529","D0Y2IE",424.4,798
"Hecogenin","Hecogenin","91453",NA,430.6,766
"Mevalonic-D, L acid lactone","Mevalonic-D, L acid lactone","6419891",NA,130.14,132
"Pipenzolate bromide","Pipenzolate bromide","657306",NA,434.4,450
"Isopropamide iodide","Isopropamide","3775",NA,353.5,419
"Cycloheximide","Cycloheximide","6197","D06ZWX",281.35,404
"Amrinone","Amrinone","3698",NA,187.2,301
"ZAPA","ZAPA","6604703",NA,146.17,155
"CHLORMETHIAZOLE","CHLORMETHIAZOLE","10783","D0G3LM",161.65,89
"QUISQUALAMINE","QUISQUALAMINE","3085372",NA,145.12,169
"5-alpha-PREGNAN-3-alpha-OL-20-ONE","5-alpha-PREGNAN-3-alpha-OL-20-ONE","91741626",NA,390.7,596
"5-alpha-PREGNANE-3-alpha-2,1-DIOL-20-ONE","5-alpha-PREGNANE-3-alpha-2,1-DIOL-20-ONE","92810",NA,316.5,538
"Tert-Butyl-Bicyclo[2.2.2]Phosphorothionate","Tert-Butyl-Bicyclo[2.2.2]Phosphorothionate","104781","D0P0TI",222.24,240
"1-AMINO-5-BROMOURACIL","1-AMINO-5-BROMOURACIL","124491",NA,206,225
"Carbinoxamine maleate salt","Carbinoxamine","2564","D00FGV",290.79,267
"Bergenin monohydrate","Bergenin","66065",NA,328.27,458
"Azlocillin sodium salt","Azlocillin","6479523","D0PA2N",461.5,844
"Butacaine","Butacaine","2480","D06ORU",306.4,281
"Securinine","Securinine","442872",NA,217.26,426
"Iopamidol","Iopamidol","65492","D0O2HQ",777.1,583
"Niacin","Niacin","938","D0N0ES; D00QNW",123.11,114
"3-Acetylcoumarin","3-Acetylcoumarin","77553",NA,188.18,304
"Hymecromone","Hymecromone","5280567",NA,176.17,257
"Nizatidine","Nizatidine","3033637","D0Q9DK",331.5,349
"Crotamiton","Crotamiton","688020","D0T3NY",203.28,235
"Methazolamide","Methazolamide","4100","D0C2II",236.3,419
"Cromolyn disodium salt","Cromolyn","2882","D06NSS",468.4,835
"Clidinium bromide","Clidinium bromide","19004",NA,432.3,482
"Cefoxitin sodium salt","Cefoxitin","441199","D02VFC",427.5,744
"Trimeprazine Tartrate","Trimeprazine Tartrate","441236",NA,747,445
"Iopromide","Iopromide","3736","D07GNP",791.1,647
"Bemegride","Bemegride","2310",NA,155.19,182
"Esculin Hydrate","Esculin","5281417",NA,340.28,495
"Monobenzone","Monobenzone","7638","D0H6TP",200.23,167
"S(-)Eticlopride Hydrochloride","S(-)Eticlopride","11973707","D0XD5A",377.3,396
"Pyrithyldione","Pyrithyldione","4994",NA,167.2,239
"Bucladesine sodium salt","Bucladesine","9687",NA,469.4,759
"Sulfamonomethoxine","Sulfamonomethoxine","5332",NA,280.31,376
"Ifosfamide","Ifosfamide","3690","D02TLO",261.08,218
"Nafcillin sodium salt monohydrate","Nafcillin","8982","D0A0JH",414.5,699
"Liothyronine","Liothyronine","5920","D0S6JG",650.97,402
"Etidronic Acid, Disodium Salt","Etidronic Acid","3305","D00NNC",206.03,211
"Digoxigenin","Digoxigenin","15478",NA,390.5,718
"Felbinac","Felbinac","3332","D0Y7EM",212.24,223
"Diloxanide furoate","Diloxanide furoate","19529",NA,328.1,383
"2-Aminobenzenesulfonamide","2-Aminobenzenesulfonamide","72894","D0OI1H",172.21,219
"Pralidoxime chloride","Pralidoxime","135398747",NA,137.16,125
"Spectinomycin dihydrochloride","Spectinomycin","15541","D02PCR",332.35,478
"Benzthiazide","Benzthiazide","2343","D0L2MX",431.9,739
"Novobiocin sodium salt","Novobiocin","54675769","D0Q0PR",612.6,1150
"Procyclidine hydrochloride","Procyclidine","4919","D0R1WR",287.4,301
"Roxithromycin","Roxithromycin","6915744","D0Y4FL",837,1310
"Methylhydantoin-5-(D)","Methylhydantoin-5-(D)","1615267",NA,114.1,143
"Meglumine","Meglumine","8567",NA,195.21,134
"Butylparaben","Butylparaben","7184",NA,194.23,171
"Metyrapone","Metyrapone","4174","D0Q9JT",226.27,275
"Tyloxapol","Tyloxapol","71388","D00ARN",280.4,204
"Piromidic acid","Piromidic acid","4855",NA,288.3,473
"Fosfosal","Fosfosal","3418","D0N3UL",218.1,259
"Trichlormethiazide","Trichlormethiazide","5560","D0Y2IZ; D0C0MN",380.7,571
"Tetrahydroxy-1,4-quinone monohydrate","Tetrahydroxy-1,4-quinone","5424",NA,172.09,272
"Beclomethasone Dipropionate","Beclomethasone Dipropionate","21700",NA,521,1050
"Simvastatin","Simvastatin","54454","D0H0ND; D00QNW; D01PKG",418.6,706
"Aminohippuric acid","Aminohippuric acid","2148","D04DLM",194.19,222
"Thonzonium bromide","Thonzonium bromide","11102",NA,591.7,515
"Salmeterol","Salmeterol","5152","D0L5YV",415.6,403
"Florfenicol","Florfenicol","114811",NA,358.2,447
"Suprofen","Suprofen","5359","D07BPS",260.31,321
"Oxalamine citrate salt","Oxalamine","264891",NA,437.4,454
"Indoprofen","Indoprofen","3718","D0Q5PL",281.3,414
"Ethynylestradiol 3-Methylether","Ethynylestradiol 3-Methylether","246206",NA,286.4,395
"Tolmetin sodium salt dihydrate","Tolmetin","5509","D09BHB",257.28,347
"Azacytidine-5","Azacytidine-5","6420049",NA,244.2,384
"Clioquinol","Clioquinol","2788","D06ABW",305.5,193
"N-Acetyl-L-leucine","N-Acetyl-L-leucine","70912",NA,173.21,177
"Bephenium hydroxynaphthoate","Bephenium hydroxynaphthoate","54678490",NA,443.5,466
"Megestrol Acetate","Megestrol Acetate","11683",NA,384.5,821
"Chloropyramine Hydrochloride","Chloropyramine","25295","D0K6RA",289.8,264
"Carbenoxolone disodium salt","Carbenoxolone","636403","D0L4VR",570.8,1200
"Oxybenzone","Oxybenzone","4632","D02CWR",228.24,258
"Pipemidic acid","Pipemidic acid","4831",NA,303.32,489
"Flurbiprofen","Flurbiprofen","3394","D0A1PX",244.26,286
"S(-)-terguride hydrogen maleate","terguride hydrogen","20839521",NA,456.5,613
"Dehydroisoandosterone 3-acetate","Dehydroisoandosterone 3-acetate","14709",NA,330.5,606
"Deoxycorticosterone","Deoxycorticosterone","6166","D04SQY",330.5,606
"Furazolidone","Furazolidone","5323714","D03CUF",225.16,326
"Nadolol","Nadolol","39147","D05SHK",309.4,344
"Lasalocid sodium salt","Lasalocid","5360807",NA,590.8,910
"Iocetamic acid","Iocetamic acid","27648","D0P5CD",613.96,383
"Iodixanol","Iodixanol","3724","D0Y4YG",1550.2,1330
"Acetaminophen","Acetaminophen","1983","D0U5QK",151.16,139
"Ioversol","Ioversol","3741","D0U1ZD",807.1,623
"Dioxybenzone","Dioxybenzone","8569",NA,244.24,292
"Ethynodiol Diacetate","Ethynodiol Diacetate","9270","D0R2KY",384.5,758
"Nilutamide","Nilutamide","4493","D0SN9T",317.22,515
"Urosiol","Urosiol","31401","D0G3SH",392.6,605
"Dichlorphenamide","Dichlorphenamide","3038","D0J4GO",305.2,452
"Moxalactam disodium salt","Moxalactam","47499","D0O5LU",520.5,958
"Dimethadione","Dimethadione","3081",NA,129.11,173
"Rolitetracycline","Rolitetracycline","54682938","D05AFR",527.6,1110
"Fluvastatin Sodium Salt","Fluvastatin","446155","D08GHB",411.5,590
"Phthalylsulfathiazole","Phthalylsulfathiazole","4806",NA,403.4,643
"Capsaicin","Capsaicin","1548943","D0U5CE",305.4,341
"Chrysin","Chrysin","5281607","D01UYI",254.24,384
"Adrenosterone","Adrenosterone","223997",NA,300.4,616
"Nabumetone","Nabumetone","4409","D05CKR",228.29,262
"Bacitracin","Bacitracin","10909430","D0M1IO",1422.7,2850
"Ketorolac tromethamine","Ketorolac tromethamine","84003",NA,376.4,430
"Iodipamide","Iodipamide","3739","D07OIX",1139.8,714
"Proparacaine hydrochloride","Proparacaine","4935","D0Q7ZG",294.39,295
"Sulconazole nitrate","Sulconazole nitrate","65495",NA,460.8,404
"Ethaverine hydrochloride","Ethaverine","3280",NA,395.5,462
"Ethopropazine hydrochloride","Ethopropazine","3290","D0Q0RC",312.5,322
"Equilin","Equilin","223368","D0R6DT",268.3,466
"Methylhydantoin-5-(L)","Methylhydantoin-5","6419931",NA,114.1,143
"Luteolin","Luteolin","5280445","D04AIT; D0V7NH",286.24,447
"Proxyphylline","Proxyphylline","4977",NA,238.24,348
"Esculetin","Esculetin","5281416","D0YZ5G",178.14,248
"PROPYL-beta-CARBOLINE-3-CARBOXYLATE","PROPYL-beta-CARBOLINE-3-CARBOXYLATE","123662","D00OAN",254.28,334
"7-(DIMETHYLCARBAMOYLOXY)-6-PHENYLPYRROLO-[2,1-D][1,5]BENZOTHIAZEPINE","7-(DIMETHYLCARBAMOYLOXY)-6-PHENYLPYRROLO-[2,1-D][1,5]BENZOTHIAZEPINE","301823",NA,307.4,542
"FGIN-1-43","FGIN-1-43","3995234",NA,487.5,554
"Gbld345","Gbld345","4602899",NA,375.4,487
"N-[-(4-METHOXYPHENYL)ETHYL]-3-INDOLEGLYOXAMIDE","N-[-(4-METHOXYPHENYL)ETHYL]-3-INDOLEGLYOXAMIDE","73227",NA,188.18,265
"Zopiclone","Zopiclone","5735","D0ZB7K",388.8,573
"3-Hydroxymethyl-Beta-Carboline","3-Hydroxymethyl-Beta-Carboline","5353338","D06BNI",198.22,234
"ISONICOTINIC acid","ISONICOTINIC acid","5922","D0W5CQ",123.11,108
"Denatonium benzoate","Denatonium benzoate","19518",NA,446.6,473
"Gliquidone","Gliquidone","91610","D06HBQ",527.6,948
"Alfadolone Acetate","Alfadolone Acetate","24733",NA,390.5,687
"Flucloxacillin sodium","Flucloxacillin","21319","D0Q2AT",453.9,758
"Isradipine","Isradipine","3784","D0Z7KE",371.4,685
"Halofantrine Hydrochloride","Halofantrine","37393","D07MVK",500.4,584
"Etomidate","Etomidate","667484","D02YPG",244.29,277
"Moricizine hydrochloride","Moricizine","34633","D04VPA",427.5,601
"Phensuximide","Phensuximide","6839","D06BYV",189.21,256
"Imidurea","Imidurea","38258",NA,388.29,627
"Netilmicin sulfate","Netilmicin","441306","D07JZF",475.6,673
"Scopoletin","Scopoletin","5280460","D05QOR",192.17,261
"Trapidil","Trapidil","5531","D0U2CV",205.26,206
"Tiletamine hydrochloride","Tiletamine","26533",NA,223.34,244
