"cid","tid","indication","approval"
3394,"D0A1PX","Rheumatoid arthritis","Approved"
5323714,"D03CUF","Diarrhea","Approved"
39147,"D05SHK","High blood pressure","Approved"
27648,"D0P5CD","Bladder disease","Approved"
3724,"D0Y4YG","Cardiovascular disease","Approved"
1983,"D0U5QK","Pain","Approved"
3741,"D0U1ZD","Cardiovascular disease","Approved"
9270,"D0R2KY","Contraception","Approved"
4493,"D0SN9T","Prostate cancer","Approved"
31401,"D0G3SH","Primary biliary cirrhosis","Approved"
3038,"D0J4GO","Chronic glaucoma","Approved"
47499,"D0O5LU","Bacterial infection","Approved"
54682938,"D05AFR","Acne vulgaris","Approved"
446155,"D08GHB","Hypercholesterolaemia","Approved"
1548943,"D0U5CE","Neuropathic pain","Approved"
4409,"D05CKR","Pain","Approved"
10909430,"D0M1IO","Skin infection","Approved"
3739,"D07OIX","Gallbladder disease","Approved"
4935,"D0Q7ZG","Anaesthesia","Approved"
3290,"D0Q0RC","Parkinson disease","Approved"
5280445,"D04AIT; D0V7NH","Bacterial infection","Approved"
5735,"D0ZB7K","Insomnia","Approved"
91610,"D06HBQ","Diabetic complication","Approved"
21319,"D0Q2AT","Bacterial infection","Approved"
3784,"D0Z7KE","Hypertension","Approved"
3784,"D0Z7KE","Herpes simplex virus infection","Phase 3"
37393,"D07MVK","Malaria","Approved"
667484,"D02YPG","Anaesthesia","Approved"
34633,"D04VPA","Arrhythmia","Approved"
34633,"D04VPA","Heart arrhythmia","Withdrawn from market"
6839,"D06BYV","Seizure disorder","Approved"
441306,"D07JZF","Bacterial infection","Approved"
5531,"D0U2CV","Coronary artery disease","Phase 4"
5531,"D0U2CV","Acute coronary syndrome","Phase 4"
5531,"D0U2CV","Multiple myeloma","Investigative"
32170,"D0I5HV","Anaesthesia","Approved"
20299,"D0OK5I","Acquired nystagmus","Approved"
3735,"D0A5JP","Vascular disease","Approved"
3742,"D0X7IT","Cardiovascular disease","Approved"
5284585,"D0E9WL","Bacterial infection","Approved"
4915,"D08GYO","Hodgkin lymphoma","Approved"
26098,"D01EQG","Inflammation","Withdrawn from market"
91668,"D0V2JK","Breast cancer","Approved"
115163,"D08HDY","Urinary tract infection","Approved"
47641,"D00HPK","Dermatomycosis","Approved"
54675785,"D0H1AR","Bacterial infection","Approved"
41049,"D0S5YC","Pain","Approved"
6842999,"D0FC1J","Chagas disease","Approved"
6842999,"D0FC1J","Trypanosomiasis","Phase 4"
6714002,"D09IEE","Inflammation","Approved"
17134,"D07PAO","Malaria","Approved"
5284447,"D02FEM","Conjunctivitis","Approved"
222284,"D0Y7LD","Hyperlipidaemia","Approved"
3081545,"D0B0FU","Gram-negative bacterial infection","Phase 1"
17506,"D0YF3X","Menorrhagia","Approved"
3902,"D0C1WH","Hormonally-responsive breast cancer","Approved"
2905,"D0B1EV","Examination of eyes or vision","Approved"
11980904,"D0I3XG","Psoriasis vulgaris","Approved"
65981,"D0N5YA","Diabetic complication","Approved"
6256,"D05RHI","Virus infection","Approved"
5756,"D0Z1FX","Hormone deficiency","Approved"
5756,"D0Z1FX","Multiple sclerosis","Phase 2"
441130,"D0O5FY","Bacterial infection","Approved"
5284549,"D05UYW","Open-angle glaucoma","Approved"
444036,"D01IWJ","Asthma","Phase 3"
3306,"D01MXV","Cardiovascular disease","Withdrawn from market"
38945,"D01PJR","Ventricular arrhythmias","Approved"
4631,"D0X2MB","Hypertension","Approved"
36921,"D08USU","Bacterial infection","Approved"
5362129,"D01STB","Congestive heart failure","Approved"
5311507,"D0I8LU","Schizophrenia","Approved"
5280723,"D0I4DQ","Erectile dysfunction","Approved"
5280723,"D0I4DQ","Diabetic foot ulcer","Approved"
19675,"D0AO6B","Schizophrenia","Approved"
4060,"D07RGW","Epilepsy","Approved"
5479537,"D0A1CB","Bacterial infection","Approved"
5282440,"D0C7AA","Xerophthalmia","Phase 4"
5282440,"D0C7AA","Chronic obstructive pulmonary disease","Phase 1"
11954171,"D0P2IT","Vulnerary","Approved"
6178111,"D0P8RS","Malaria","Approved"
33478,"D04KAQ","Bacterial infection","Approved"
54385,"D08SEI","Allergic conjunctivitis","Approved"
4641,"D06ZPS","Arthritis","Approved"
6843,"D0N6CR","Pain","Approved"
4075,"D0C4YC","Ulcerative colitis","Approved"
135398743,"D05CHI","Mycobacterium infection","Approved"
135398743,"D05CHI","Tuberculosis","Approved"
54707177,"D04VEJ","Bacterial infection","Approved"
5311412,"D0D2TN","Arthritis","Approved"
41781,"D0J9XZ","Congestive heart failure","Approved"
6307,"D0J8ZA","Hypertension","Approved"
221071,"D0K7LU","Parasitic infection","Approved"
19003,"D00HWO","Bacterial infection","Approved"
4078,"D04AAN","Schizophrenia","Approved"
107715,"D09NNH","Alcohol dependence","Approved"
3033769,"D07MEH","Type-2 diabetes","Approved"
3033769,"D07MEH","Psychotic disorder","Phase 4"
27400,"D06XZR","Headache","Approved"
65854,"D02ZPM","Pain","Terminated"
2264,"D00SVU","Nausea and vomiting","Approved"
9419,"D0P8AY","Anxiety disorder","Approved"
60753,"D02MLW","Atrial fibrillation","Approved"
5743,"D0IT2G; D0W8ZE","Rheumatoid arthritis","Approved"
5743,"D0IT2G; D0W8ZE","Multiple myeloma","Investigative"
4735,"D05EAM","Fungal infection","Approved"
4735,"D05EAM","Human immunodeficiency virus infection","Withdrawn from market"
441207,"D0M3QP","Heart failure","Approved"
441207,"D0M3QP","Arrhythmia","Approved"
441207,"D0M3QP","Congestive cardiac insufficiency","Approved"
2750,"D03GWY","Pulmonary fibrosis","Preclinical"
5318517,"D04VIS","Bacillary dysentery","Approved"
11541511,"D0A4YK","Solid tumour/cancer","Phase 2"
11541511,"D0A4YK","Pancreatic cancer","Phase 2"
65064,"D09CKU; D0EA3E; D0U2BH","Hepatic fibrosis","Phase 3"
2950,"D0J0EL","Laxative","Withdrawn from market"
221493,"D0OR2L","Synthesis disorder","Approved"
221493,"D0OR2L","Peroxisomal disorder","Approved"
190,"D08IBS","Malnutrition","Approved"
222528,"D02PQB","Obesity","Phase 3"
5281605,"D00YEV","Influenza virus infection","Phase 2"
31553,"D02ADM","Hepatic failure","Phase 2/3"
72344,"D4PG6A","Atherosclerosis","Preclinical"
73111,"D0Z2LG","Cardiovascular disease","Approved"
3712,"DN62DG","Breast cancer","Phase 3"
442894,"D0T5AW","Alcohol dependence","Phase 1"
969516,"D07SDQ","Solid tumour/cancer","Phase 3"
441852,"D0M2QH","Cardiovascular disease","Approved"
5280489,"D0MY8N","Vitamin deficiency","Approved"
445354,"D0S7WX","Night blindness","Approved"
445354,"D0S7WX","Kinetoplastids","Investigative"
124886,"D02HFD","Human immunodeficiency virus infection","Approved"
9750,"D01XPY","Acute lung injury","Phase 3"
14982,"D0T8QB","Influenza virus infection","Phase 3"
11349,"D0B5GC","Cerebrovascular ischaemia","Investigative"
2202,"D0QO7H","Psoriasis vulgaris","Approved"
135403647,"D0B6TW","Solid tumour/cancer","Approved"
23675321,"D0DT5E","Bacterial infection","Approved"
1201549,"D0HQ6N","Parkinson disease","Approved"
3198,"D0EV8E","Tinea versicolor","Approved"
3198,"D0EV8E","Cutaneous candidiasis","Approved"
3198,"D0EV8E","Tinea corporis","Approved"
3198,"D0EV8E","Tinea cruris","Approved"
3198,"D0EV8E","Tinea pedis","Approved"
1990,"D0R9BG","Urinary tract infection","Approved"
5281915,"D01ZUA","Cerebrovascular ischaemia","Phase 4"
5281915,"D01ZUA","Solid tumour/cancer","Phase 2"
5281915,"D01ZUA","Squamous cell carcinoma","Phase 2"
5281915,"D01ZUA","Pancreatic tumour","Phase 2"
5281915,"D01ZUA","Epidermolysis bullosa","Phase 1"
5281915,"D01ZUA","Recurrent glioblastoma","Phase 1"
5773,"D0F8IO","Gram-positive bacterial infection","Withdrawn from market"
60857,"D0NG7O","Migraine","Approved"
5318,"D0X8XA","Fungal infection","Approved"
137,"D0Y7ZD","Acne vulgaris","Approved"
137,"D0Y7ZD","Actinic keratosis","Approved"
5459308,"D0F9WF","Arthritis","Discontinued in Phase 2"
4062,"D0WO8W","Analgesia","Approved"
3749,"D00JAU; D02NZO; D0C0MN","Hypertension","Approved"
4747,"D00AWT","Psychiatric disorder","Approved"
4764,"D03FDT","Constipation","Withdrawn from market"
5484727,"D0M5OC","Hypertension","Approved"
149096,"D02RSN","Bacterial infection","Approved"
3401,"D01VMO","Fungal infection","Approved"
452548,"D01DBQ","Acute lymphoblastic leukaemia","Approved"
72385,"D01TQR","Contraception","Approved"
3365,"D09LNI","Fungal infection","Approved"
3961,"D0DD0K","Hypertension","Approved"
84029,"D0Z1ZM","Bacterial infection","Approved"
3034010,"D0T9TJ","Obesity","Approved"
4829,"D03OFF","Diabetic complication","Approved"
4829,"D03OFF","Type-2 diabetes","Phase 3"
4829,"D03OFF","Obesity","Investigative"
5311309,"D06PSS","Diabetic complication","Approved"
4004,"D0K3LW","Pediculus capitis infestation","Approved"
5278,"D0U9TM","Gout","Discontinued in Phase 3"
5278,"D0U9TM","Diabetic complication","Investigative"
16533,"D03SXE","Dermatological disease","Approved"
3652,"D0OJ4L","Malaria","Approved"
2581,"D0IT2X","Pain","Approved"
3080,"D0X2IE","Poison intoxication","Approved"
5147,"D07MCK","Pain","Approved"
5284451,"D01NJI","Headache","Approved"
5284451,"D01NJI","Allergy","Approved"
5320,"D0M4VM","Acne vulgaris","Approved"
3324,"D0VT8P","Virus infection","Approved"
447043,"D03HJK","Syphilis infection","Approved"
2799,"D00NJL","Bronchitis","Approved"
4021,"D06DLI","Amyotrophic lateral sclerosis","Approved"
2442,"D07UWJ","Sjogren syndrome","Approved"
4622,"D0B9GM","Pediatric cancer","Discontinued in Phase 3"
2662,"D03RTS; D0KP0U","Rheumatoid arthritis","Approved"
2662,"D03RTS; D0KP0U","Pain","Phase 3"
5284537,"D06AEO","Prostate cancer","Approved"
443958,"D06XHC","Inflammation","Approved"
4642,"D0H5DU","Peptic ulcer","Approved"
656644,"D0Q8XH","Bacterial infection","Approved"
5282242,"D05JDR","Chronic bronchitis","Approved"
5210,"D08KVZ","Obesity","Approved"
134601,"D00MFA","Poison intoxication","Investigative"
3496,"D04HMD","Malaria","Investigative"
6915944,"D0WS1X","Bacterial infection","Approved"
5379,"D03CQE","Respiratory tract infection","Approved"
5362124,"D0U3EC","Hypertension","Approved"
150311,"D09LWS; D0L4LX","Hypercholesterolaemia","Approved"
60496,"D0H7WA","Arteriosclerosis","Discontinued in Phase 2"
16760658,"D0X7ZL","Pain","Approved"
65999,"D0N6RF","Hypertension","Approved"
4737,"D0F0YZ","Insomnia","Approved"
3002190,"D09HNR","Bacterial infection","Approved"
123606,"D0P0SM","Migraine","Approved"
119607,"D0L6DA","Osteoarthritis","Approved"
23668834,"D0K5OT","Bacterial infection","Approved"
23676814,"D02IIE","Bacterial infection","Approved"
439213,"D07NSU","Osteoarthritis","Approved"
54892,"D0I7SZ","Hypertension","Approved"
3033832,"D0I5WB","Female infertility","Approved"
152946,"D0ZV0Z","Bacterial infection","Approved"
441314,"D0D0ZD","Diabetic complication","Approved"
6436,"D08YWK","Pain","Phase 3"
130881,"D07UBG","High blood pressure","Approved"
5656,"D0P1UX","Depression","Approved"
60606,"D0N0TZ","Thrombosis","Approved"
2345,"D0G1VX","Infestations of lice and scabies","Approved"
443879,"D0BZ7W","Overactive bladder","Approved"
5042,"D03BQP","Peptic ulcer","Phase 3"
5541,"D0Q6DX","Onychomycosis","Approved"
2896,"D0Z8LA","Virus infection","Discontinued in Phase 1"
5161,"D0Y0JH","Rheumatoid arthritis","Approved"
636402,"D0G6ZW","Fungal infection","Discontinued in Phase 3"
3032791,"D0G1WV","Plant grey mould disease","Phase 3"
2577,"D00IKH","Solid tumour/cancer","Withdrawn from market"
5746,"D0Y0GH","Breast cancer","Approved"
5746,"D0Y0GH","Gastrointestinal cancer","Approved"
5746,"D0Y0GH","Solid tumour/cancer","Approved"
3000502,"D0E7MV","Bacterial infection","Approved"
3000502,"D0E7MV","Mycobacterium infection","Phase 2"
2406,"D0QQ1J","Trematode infection","Withdrawn from market"
8378,"D05JNI","Alcoholic cirrhosis of liver","Approved"
8378,"D05JNI","Acute liver failure","Approved"
8378,"D05JNI","Bacterial infection","Approved"
6433272,"D08XAC","Fungal infection","Approved"
4775,"D0B7CH","Urea cycle disorder","Phase 2"
11057,"D04GZA","Bacterial infection","Approved"
6013,"D06XMU","Osteoporosis","Approved"
6013,"D06XMU","Hormone deficiency","Phase 2"
6013,"D06XMU","Male hormonal deficiency","Investigative"
5453,"D00YZA","Breast cancer","Approved"
457193,"D0P8IV","Solid tumour/cancer","Approved"
216258,"D0Q3BV","Respiratory tract infection","Approved"
5311281,"D0DJ4A","Artery stenosis","Phase 2"
4842,"D03FNJ","Refractory chronic myeloid leukaemia","Approved"
3598,"D0ZX2G","Bacterial infection","Approved"
92786,"D00VZZ","Postpartum depression","Approved"
92786,"D00VZZ","Depression","Approved"
92786,"D00VZZ","Status epilepticus seizure","Phase 3"
92786,"D00VZZ","Essential tremor or related tremors","Phase 2"
107935,"D14NDZ","Esophageal squamous cell carcinoma","Investigative"
122724,"D0I9XH","Motor neurone disease","Preclinical"
2723601,"D02ZXM","Acute myeloid leukaemia","Approved"
72435,"D01SJS","Solid tumour/cancer","Phase 2"
727,"D0Q5IN","Infestations of lice and scabies","Approved"
2478,"D07SUG","Myeloproliferative syndrome","Approved"
35370,"D01XYJ; D01SKR","Human immunodeficiency virus infection","Approved"
35370,"D01XYJ; D01SKR","Virus infection","Investigative"
2365,"D0Z8AA","Sterilant","Approved"
4033,"D03SSE","T-cell lymphoma","Approved"
4033,"D03SSE","Hodgkin lymphoma","Phase 3"
667490,"D09UZO","Acute lymphoblastic leukaemia","Approved"
667490,"D09UZO","Crohn disease","Phase 4"
6436173,"D04ITO","Bacterial infection","Approved"
2724368,"D0Q3QS","Inflammatory bowel disease","Phase 1"
145949,"DL74RO","Acinetobacter baumannii infection","Preclinical"
71815,"D0V5IW","Bacterial vaginosis","Approved"
71815,"D0V5IW","Amoebiasis","Approved"
8609,"D0L5PO","Pulmonary tuberculosis","Approved"
2355,"D0QR5G","Psoriasis vulgaris","Phase 3"
5952,"D02CJX","Discovery agent","Approved"
123600,"D02ZJI","Asthma","Approved"
2378,"D0AA2D","Fungal infection","Approved"
21800,"D0MD6C","Plaque psoriasis","Phase 3"
5974,"DM5T2B","Attention deficit hyperactivity disorder","Phase 2"
9818306,"D0T7ZQ","Hormone replacement therapy","Approved"
5790,"D0TS1Z","Solid tumour/cancer","Approved"
5790,"D0TS1Z","Colorectal cancer","Approved"
2722,"D02HWP","Erythema","Approved"
666418,"D0L7UQ","Tuberculosis","Approved"
5281613,"D0X9XP","Hemorrhoids","Approved"
135409453,"D00XWD","Irritable bowel syndrome","Approved"
135409453,"D00XWD","Gastro-oesophageal reflux","Withdrawn from market"
135409453,"D00XWD","Dyspepsia","Withdrawn from market"
3599,"D00FGR","Leishmaniasis","Approved"
3599,"D00FGR","Visceral leishmaniasis","Phase 2"
44561,"D0OT0O","Cytomegalovirus retinitis","Approved"
2267,"D00JVR","Allergic conjunctivitis","Approved"
10281,"DY4OZ6","Polycystic ovarian syndrome","Phase 2/3"
8433,"D02BDL","Solid tumour/cancer","Investigative"
446157,"D0JE2E","Hypercholesterolaemia","Approved"
446157,"D0JE2E","Elevated C-reactive protein","Phase 3"
6918612,"D06VFO","Central and peripheral nervous disease","Approved"
24144,"D04VKS","Fungal infection","Approved"
441242,"D04VXN","Bacterial infection","Approved"
3728,"D06AEB","Amoebiasis","Approved"
23662354,"D0C3YQ","Urinary dysfunction","Approved"
4038,"D0MN9K","Arthritis","Approved"
442534,"D0PD0F","Parkinson disease","Investigative"
6284,"D0Z9PX","Allergic rhinitis","Approved"
6215,"D02QJH","Inflammation","Approved"
13791,"D07VBA","Hormone replacement therapy","Approved"
9403,"D0U0XD","Hormone replacement therapy","Approved"
5991,"D06NXY","Female hypogonadism","Approved"
5090,"D05VLS","Osteoarthritis","Approved"
2197,"D09WKB","Coagulation defect","Approved"
3806,"D0C0NH","Non-small-cell lung cancer","Phase 3"
3806,"D0C0NH","Nasopharyngeal carcinoma","Investigative"
4753,"D07ONP","Epilepsy","Approved"
5852,"D08HZC","Rheumatoid arthritis","Approved"
4101,"D02LJR","Urinary tract infection","Approved"
1254,"D04CSZ","Throat irritation","Approved"
27503,"D0G7IY","Atopic dermatitis","Approved"
5511,"D0X0WU","Muscle spasm","Approved"
56842231,"D09KKH","Fungal infection","Approved"
439503,"D06BQU","Analgesia","Approved"
1176,"D02XBW","Dermatological disease","Approved"
10819,"D0S2HO","Solid tumour/cancer","Discontinued in Phase 2"
